DataSet,F1-Mean,SD,F2-Mean,SD,L1-Mean,SD,L2-Mean,SD,L3-Mean,SD
appendicitis,0.8218,0.00,0.0446,0.00,0.4182,0.00,0.1981,0.00,0.5000,0.00
balance,0.2563,0.18,1.0000,0.00,0.4321,0.19,0.0581,0.01,0.2163,0.20
banana,0.0098,0.00,0.6257,0.00,0.8966,0.00,0.4483,0.00,0.5000,0.00
bands,0.1543,0.00,0.0000,0.00,0.7855,0.00,0.3041,0.00,0.4005,0.00
bupa,0.0548,0.00,0.0732,0.00,1.0068,0.00,0.3014,0.00,0.3435,0.00
cleveland,0.4659,0.23,0.1170,0.05,0.2932,0.15,0.1246,0.05,0.4231,0.15
contraceptive,0.1580,0.06,0.7633,0.04,0.6626,0.16,0.2951,0.05,0.4430,0.08
ecoli,13.9363,23.26,0.0000,0.00,0.2291,0.19,0.0897,0.08,0.4494,0.13
glass,0.9895,0.72,0.0043,0.01,0.3414,0.25,0.1667,0.13,0.5000,0.00
haberman,0.1832,0.00,0.7177,0.00,0.5533,0.00,0.2680,0.00,0.4925,0.00
hayes-roth,0.2210,0.17,0.2963,0.00,0.7515,0.09,0.2896,0.13,0.3255,0.13
ionosphere,0.6094,0.00,0.0000,0.00,0.4523,0.00,0.1168,0.00,0.1490,0.00
iris,7.0677,6.90,0.0154,0.01,0.5266,0.15,0.2044,0.15,0.3060,0.22
led7digit,2.0163,1.57,1.0000,0.00,0.4855,0.11,0.0880,0.03,0.4417,0.12
magic,0.5587,0.00,0.0815,0.00,0.7174,0.00,0.2135,0.00,0.2365,0.00
newthyroid,2.0788,1.36,0.0004,0.00,0.5502,0.16,0.1783,0.09,0.4327,0.10
page-blocks,1.6059,0.76,0.0000,0.00,53.2287,70.26,0.0305,0.03,0.2837,0.15
penbased,1.9449,0.79,0.2105,0.28,8.5841,7.16,0.0164,0.01,0.0738,0.06
phoneme,0.2699,0.00,0.2708,0.00,0.6672,0.00,0.2567,0.00,0.3355,0.00
pima,0.5743,0.00,0.2516,0.00,0.6887,0.00,0.3503,0.00,0.5000,0.00
ring,0.0505,0.00,0.0000,0.00,0.7206,0.00,0.2323,0.00,0.2045,0.00
saheart,0.3907,0.00,0.3590,0.00,0.9081,0.00,0.2771,0.00,0.3255,0.00
satimage,2.0527,1.83,0.0000,0.00,2.4677,1.23,0.0548,0.04,0.1783,0.19
segment,8.7966,13.14,0.0000,0.00,0.6331,0.38,0.0703,0.06,0.2362,0.23
shuttle,3.2002,3.72,0.0016,0.00,4.6044,6.44,0.0255,0.05,0.3242,0.21
sonar,0.4616,0.00,0.0000,0.00,0.6469,0.00,0.1875,0.00,0.1340,0.00
spectfheart,0.5501,0.00,0.0000,0.00,3.6855,0.00,0.0936,0.00,0.2115,0.00
titanic,0.4867,0.00,1.0000,0.00,0.4483,0.00,0.2240,0.00,0.3010,0.00
twonorm,0.4352,0.00,0.0041,0.00,0.8313,0.00,0.0226,0.00,0.0080,0.00
vehicle,0.4623,0.39,0.0009,0.00,2.4908,1.74,0.1008,0.08,0.2700,0.09
wine,3.9829,1.26,0.0005,0.00,0.4029,0.07,0.0693,0.04,0.0652,0.06
wisconsin,3.5536,0.00,0.2169,0.00,1.4386,0.00,0.0278,0.00,0.0085,0.00
yeast,17.5729,48.57,0.0056,0.02,0.2148,0.22,0.1000,0.11,0.5000,0.00
